postcode_sector,relative_area,population_density,multiple_deprivation_index,income_deprivation_index,employment_deprivation_index,crime_deprivation_index,rural_urban,distance_to_station,never_worked,region
SS79,832.0800000000003,17.758620689655164,10.03510344827586,0.0726551724137931,0.07510344827586204,-0.24606896551724136,Urban city and town,2.6659572413793104,Average,East of England
SS80,8495.44,31.50177514792903,23.31846153846157,0.15675739644970382,0.1297692307692303,0.0021775147928994173,Urban city and town,2.9864954615384613,Average,East of England
SS81,90.82,19.0,20.295999999999996,0.122,0.129,0.28800000000000003,Urban city and town,3.156738333333333,Average,East of England
SS87,1951.6599999999996,49.12918454935623,25.449133047210285,0.17939914163090132,0.15466523605150226,0.1948240343347637,Urban city and town,3.512338626609442,Average,East of England
SS88,1286.3099999999997,52.121910112359544,22.845353932584246,0.16055617977528103,0.1310449438202251,-0.38468539325842704,Urban city and town,3.0122702808988766,Average,East of England
SS89,4204.970000000002,60.02315789473691,25.21258596491225,0.18328421052631563,0.1376912280701751,0.22557192982456203,Urban city and town,2.349747087719299,Average,East of England
SS90,28.17,33.4,40.361999999999995,0.307,0.21,0.657,Urban city and town,0.231631,Average,East of England
SS91,723.6800000000002,83.50819672131145,10.603469945355195,0.08683606557377055,0.07024590163934405,0.046256830601092876,Urban city and town,0.7547938688524588,Average,East of England
SS92,2707.6099999999983,54.02688679245292,8.44827358490567,0.0706509433962267,0.05498113207547169,0.11411320754716996,Urban city and town,0.7717690193396225,Average,East of England
SS93,1857.0700000000008,48.33857142857137,13.290195238095235,0.10548095238095256,0.0883761904761904,-0.041904761904761924,Urban city and town,1.3377385619047613,Average,East of England
SS94,2006.2500000000014,46.80769230769235,20.00489423076923,0.15174999999999994,0.12170192307692328,0.1388076923076915,Urban city and town,2.392345288461538,Average,East of England
SS95,4664.859999999995,42.97736625514405,12.941189300411505,0.09186008230452682,0.0803333333333334,-0.10220576131687227,Urban city and town,3.0064522962962963,Average,East of England
SS990,24.67,37.35,35.471999999999994,0.2,0.169,1.0875,Urban city and town,0.8155975,['Average' 'High'],East of England
SS991,197.69000000000003,28.550000000000004,41.74514285714286,0.2664285714285714,0.21300000000000002,0.839642857142857,Urban city and town,0.5287607857142859,['Average' 'High'],East of England
